Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
"Independent Study, Sojourner Truth",2017-18,African American,102,0,0.0
Joaquin Miller Elementary,2017-18,African American,84,1,0.0119047619047619
Kaiser Elementary,2017-18,African American,70,3,0.0428571428571429
KIPP Bridge Academy,2017-18,African American,341,28,0.0821114369501466
La Escuelita Elementary,2017-18,African American,75,6,0.08
Laurel Elementary,2017-18,African American,215,25,0.116279069767442
Learning Without Limits,2017-18,African American,69,1,0.0144927536231884
LIFE Academy,2017-18,African American,29,3,0.103448275862069
Lighthouse Community Charter High,2017-18,African American,22,0,0.0
Lighthouse Community Charter,2017-18,African American,57,6,0.105263157894737
Lincoln Elementary,2017-18,African American,52,2,0.0384615384615385
Lodestar: A Lighthouse Community Charter Public,2017-18,African American,93,13,0.139784946236559
LPS Oakland R & D Campus,2017-18,African American,36,5,0.138888888888889
Madison Park Academy TK-5,2017-18,African American,106,4,0.0377358490566038
Madison Park Academy 6-12,2017-18,African American,125,25,0.2
Manzanita Community,2017-18,African American,153,11,0.0718954248366013
Manzanita SEED Elementary,2017-18,African American,54,5,0.0925925925925926
Markham Elementary,2017-18,African American,115,5,0.0434782608695652
"Martin Luther King, Jr. Elementary",2017-18,African American,180,9,0.05
McClymonds High,2017-18,African American,358,71,0.198324022346369
Melrose Leadership Academy,2017-18,African American,45,0,0.0
MetWest High,2017-18,African American,33,2,0.0606060606060606
MLK / Lafayette Elementary,2017-18,African American,113,28,0.247787610619469
Montclair Elementary,2017-18,African American,95,0,0.0
Montera Middle,2017-18,African American,299,65,0.217391304347826
New Highland Academy,2017-18,African American,55,3,0.0545454545454545
"Nonpublic, Nonsectarian Schools",2017-18,African American,85,0,0.0
North Oakland Community Charter,2017-18,African American,72,15,0.208333333333333
Oakland Charter Academy,2017-18,African American,13,2,0.153846153846154
Oakland Charter High,2017-18,African American,21,1,0.0476190476190476
Oakland High,2017-18,African American,454,47,0.10352422907489
Oakland International High,2017-18,African American,26,1,0.0384615384615385
"Oakland Military Institute, College Preparatory Academy",2017-18,African American,150,10,0.0666666666666667
Oakland School for the Arts,2017-18,African American,134,4,0.0298507462686567
Oakland SOL (School of Language) Dual Language Middle,2017-18,African American,18,2,0.111111111111111
Oakland Technical High,2017-18,African American,606,24,0.0396039603960396
Oakland Unity High,2017-18,African American,17,2,0.117647058823529
Parker Elementary,2017-18,African American,248,22,0.0887096774193548
Peralta Elementary,2017-18,African American,51,3,0.0588235294117647
Piedmont Avenue Elementary,2017-18,African American,197,1,0.0050761421319797
Ralph J. Bunche High,2017-18,African American,110,2,0.0181818181818182
Reach Academy,2017-18,African American,206,11,0.0533980582524272
Redwood Heights Elementary,2017-18,African American,70,0,0.0
Rise Community,2017-18,African American,86,4,0.0465116279069767
Roosevelt Middle,2017-18,African American,105,10,0.0952380952380952
ROOTS International Academy,2017-18,African American,109,22,0.201834862385321
Roses in Concrete,2017-18,African American,175,17,0.0971428571428571
Rudsdale Continuation,2017-18,African American,72,4,0.0555555555555556
Sankofa Academy,2017-18,African American,159,14,0.0880503144654088
Sequoia Elementary,2017-18,African American,90,3,0.0333333333333333
Skyline High,2017-18,African American,618,110,0.177993527508091
Street Academy (Alternative),2017-18,African American,72,0,0.0
Think College Now,2017-18,African American,65,12,0.184615384615385
Thornhill Elementary,2017-18,African American,47,0,0.0
United for Success Academy,2017-18,African American,79,21,0.265822784810127
Urban Promise Academy,2017-18,African American,30,4,0.133333333333333
Vincent Academy,2017-18,African American,195,2,0.0102564102564103
West Oakland Middle,2017-18,African American,144,58,0.402777777777778
Westlake Middle,2017-18,African American,215,35,0.162790697674419
Young Adult Program,2017-18,African American,80,0,0.0
Achieve Academy,2018-19,African American,21,1,0.0476190476190476
ACORN Woodland Elementary,2018-19,African American,19,0,0.0
Allendale Elementary,2018-19,African American,139,3,0.0215827338129496
Alliance Academy,2018-19,African American,60,7,0.116666666666667
American Indian Public High,2018-19,African American,101,11,0.108910891089109
American Indian Public Charter II,2018-19,African American,272,7,0.0257352941176471
American Indian Public Charter,2018-19,African American,42,4,0.0952380952380952
Aspire Berkley Maynard Academy,2018-19,African American,341,17,0.0498533724340176
Aspire College Academy,2018-19,African American,86,5,0.0581395348837209
Aspire ERES Academy,2018-19,African American,13,2,0.153846153846154
Aspire Golden State College Preparatory Academy,2018-19,African American,104,15,0.144230769230769
Aspire Lionel Wilson College Preparatory Academy,2018-19,African American,27,14,0.518518518518518
Aspire Monarch Academy,2018-19,African American,12,0,0.0
Aspire Triumph Technology Academy,2018-19,African American,185,18,0.0972972972972973
Bay Area Technology,2018-19,African American,118,16,0.135593220338983
Bella Vista Elementary,2018-19,African American,114,3,0.0263157894736842
